city,year,index_value
Amsterdam,2015,61.85
Amsterdam,2016,70.25
Amsterdam,2017,80.1
Amsterdam,2018,90.33
Amsterdam,2019,95.47
Amsterdam,2020,100.0
Amsterdam,2021,111.52
Amsterdam,2022,123.8
Amsterdam,2023,117.65
Amsterdam,2024,127.85
Berlin,2015,53.1
Berlin,2016,59.5
Berlin,2017,68.7
Berlin,2018,76.3
Berlin,2019,80.1
Berlin,2020,83.8
Berlin,2021,91.4
Berlin,2022,100
Berlin,2023,96.2
Berlin,2024,96.2
Budapest,2015,180.62
Budapest,2016,206.79
Budapest,2017,237.51
Budapest,2018,276.17
Budapest,2019,326.29
Budapest,2020,360.35
Budapest,2021,421.04
Budapest,2022,508.74
Budapest,2023,541.97
Budapest,2024,616.33
London,2015,79.73
London,2016,87.67
London,2017,90.05
London,2018,89.61
London,2019,88.34
London,2020,90.7
London,2021,93.8
London,2022,99.14
London,2023,97.75
London,2024,97.41
Madrid,2015,1987.32
Madrid,2016,2098.12
Madrid,2017,2394.42
Madrid,2018,2742.05
Madrid,2019,2846.82
Madrid,2020,2948.2
Madrid,2021,2965.39
Madrid,2022,3287.54
Madrid,2023,3454.63
Madrid,2024,3629.53
Paris,2015,100.07
Paris,2016,103.15
Paris,2017,110.58
Paris,2018,117.88
Paris,2019,125.8
Paris,2020,134.38
Paris,2021,134.07
Paris,2022,132.78
Paris,2023,126.67
Paris,2024,119.38
Prague,2015,105.28
Prague,2016,114.95
Prague,2017,132.82
Prague,2018,141.78
Prague,2019,152.97
Prague,2020,166.1
Prague,2021,193.93
Prague,2022,222.47
Prague,2023,216.7
Prague,2024,234.88
Vienna,2015,209.2
Vienna,2016,217.5
Vienna,2017,220.4
Vienna,2018,232.0
Vienna,2019,243.2
Vienna,2020,259.6
Vienna,2021,287.6
Vienna,2022,315.6
Vienna,2023,308.2
Vienna,2024,297.6
Warsaw,2015,7372.94
Warsaw,2016,7413.41
Warsaw,2017,7830.89
Warsaw,2018,8451.66
Warsaw,2019,9374.15
Warsaw,2020,10358.26
Warsaw,2021,11381.56
Warsaw,2022,12727.02
Warsaw,2023,13553.5
Warsaw,2024,16343.63
