city,year,quarter,eur_per_sqm
Palma,2001,1,988.52
Palma,2001,2,1056.7
Palma,2001,3,1134.4
Palma,2001,4,1183.27
Palma,2002,1,1248.78
Palma,2002,2,1306.88
Palma,2002,3,1360.97
Palma,2002,4,1420.53
Palma,2003,1,1446.44
Palma,2003,2,1491.49
Palma,2003,3,1531.32
Palma,2003,4,1569.8
Palma,2004,1,1609.77
Palma,2004,2,1660.58
Palma,2004,3,1686.14
Palma,2004,4,1731.45
Palma,2005,1,1796.9
Palma,2005,2,1866.27
Palma,2005,3,1933.93
Palma,2005,4,1992.38
Palma,2006,1,2062.52
Palma,2006,2,2157.05
Palma,2006,3,2223.56
Palma,2006,4,2304.73
Palma,2007,1,2381.76
Palma,2007,2,2452.04
Palma,2007,3,2510.64
Palma,2007,4,2569.31
Palma,2008,1,2599.19
Palma,2008,2,2586.11
Palma,2008,3,2584.75
Palma,2008,4,2533.84
Palma,2009,1,2500.58
Palma,2009,2,2469.1
Palma,2009,3,2441.12
Palma,2009,4,2405.25
Palma,2010,1,2316.29
Palma,2010,2,2312.76
Palma,2010,3,2273.93
Palma,2010,4,2257.5
Palma,2011,1,2187.93
Palma,2011,2,2140.49
Palma,2011,3,2117.21
Palma,2011,4,2093.2
Palma,2012,1,2045.41
Palma,2012,2,2054.35
Palma,2012,3,1990.83
Palma,2012,4,1953.15
Palma,2013,1,1891.1
Palma,2013,2,1841.67
Palma,2013,3,1819.48
Palma,2013,4,1782.74
Palma,2014,1,1732.68
Palma,2014,2,1710.02
Palma,2014,3,1702.57
Palma,2014,4,1653.74
Palma,2015,1,1634.31
Palma,2015,2,1619.11
Palma,2015,3,1609.84
Palma,2015,4,1619.41
Palma,2016,1,1627.03
Palma,2016,2,1614.25
Palma,2016,3,1621.39
Palma,2016,4,1658.81
Palma,2017,1,1661.56
Palma,2017,2,1705.0
Palma,2017,3,1721.78
Palma,2017,4,1794.49
Palma,2018,1,1843.53
Palma,2018,2,1895.03
Palma,2018,3,1980.96
