city,year,rental_eur_sqm
Amsterdam,2016,16.0
Amsterdam,2017,18.4
Amsterdam,2018,18.7
Amsterdam,2019,20.7
Amsterdam,2020,19.2
Amsterdam,2021,22.45
Amsterdam,2022,25.8
Amsterdam,2023,27.3
Amsterdam,2024,26.3
Berlin,2016,14.5
Berlin,2017,9.3
Berlin,2018,7.3
Berlin,2019,9.1
Berlin,2020,10.1
Berlin,2021,14.3
Berlin,2022,16.3
Berlin,2023,17.2
Berlin,2024,18.4
Budapest,2016,9.7
Budapest,2017,9.8
Budapest,2018,10.5
Budapest,2019,11.6
Budapest,2020,9.76
Budapest,2021,10.39
Budapest,2022,9.6
Budapest,2023,11.3
Budapest,2024,12.0
London,2016,24.95
London,2017,22.2
London,2018,20.1
London,2019,22.7
London,2020,22.31
London,2021,22.1
London,2022,23.05
London,2023,28.75
London,2024,23.8
Madrid,2016,14.4
Madrid,2017,15.5
Madrid,2018,18.1
Madrid,2019,18.6
Madrid,2020,15.97
Madrid,2021,18.46
Madrid,2022,21.5
Madrid,2023,25.4
Madrid,2024,27.1
Paris,2016,29.0
Paris,2017,26.4
Paris,2018,27.8
Paris,2019,28.3
Paris,2020,28.6
Paris,2021,29.1
Paris,2022,28.5
Paris,2023,31.3
Paris,2024,32.0
Prague,2016,10.9
Prague,2017,13.1
Prague,2018,13.4
Prague,2019,12.3
Prague,2020,11.46
Prague,2021,11.25
Prague,2022,14.4
Prague,2023,15.9
Prague,2024,16.5
Vienna,2016,9.4
Vienna,2017,9.6
Vienna,2018,9.8
Vienna,2019,9.9
Vienna,2020,8.65
Vienna,2021,8.66
Vienna,2022,9.1
Vienna,2023,10.5
Vienna,2024,10.8
Warsaw,2016,8.7
Warsaw,2017,14.8
Warsaw,2018,14.6
Warsaw,2019,16.7
Warsaw,2020,15.13
Warsaw,2021,17.86
Warsaw,2022,15.2
Warsaw,2023,16.7
Warsaw,2024,17.9
