country,year,index_value
Austria,2015,40736.201
Austria,2016,41741.363
Austria,2017,42438.812
Austria,2018,43388.333
Austria,2019,44531.307
Austria,2020,45153.723
Austria,2021,46905.237
Austria,2022,49246.09
Austria,2023,52801.076
Austria,2024,56745.367
Czechia,2015,335818.33
Czechia,2016,352302.19
Czechia,2017,379640.47
Czechia,2018,410430.97
Czechia,2019,441691.13
Czechia,2020,452048.59
Czechia,2021,480832.34
Czechia,2022,522266.98
Czechia,2023,560603.66
Czechia,2024,597223.46
France,2015,35620.966
France,2016,36079.222
France,2017,36858.436
France,2018,37392.074
France,2019,38078.279
France,2020,36562.871
France,2021,38660.988
France,2022,40661.433
France,2023,42447.323
France,2024,43559.379
Germany,2015,39075.915
Germany,2016,39995.698
Germany,2017,41104.002
Germany,2018,42355.858
Germany,2019,43670.057
Germany,2020,43580.409
Germany,2021,44917.797
Germany,2022,46913.072
Germany,2023,49961.127
Germany,2024,52476.531
Hungary,2015,3000199.0
Hungary,2016,3078965.3
Hungary,2017,3407449.2
Hungary,2018,3696812.8
Hungary,2019,4090237.0
Hungary,2020,4343130.2
Hungary,2021,4730188.5
Hungary,2022,5637598.8
Hungary,2023,6505858.4
Hungary,2024,7326363.9
Netherlands,2015,45967.528
Netherlands,2016,46516.074
Netherlands,2017,46704.942
Netherlands,2018,47260.983
Netherlands,2019,48188.086
Netherlands,2020,49749.696
Netherlands,2021,51041.861
Netherlands,2022,52103.929
Netherlands,2023,55494.716
Netherlands,2024,58922.444
Poland,2015,46364.541
Poland,2016,48478.28
Poland,2017,51400.789
Poland,2018,55544.581
Poland,2019,58602.685
Poland,2020,61445.434
Poland,2021,64488.338
Poland,2022,72433.252
Poland,2023,82775.483
Poland,2024,93227.563
Portugal,2015,16419.532
Portugal,2016,16586.697
Portugal,2017,16920.445
Portugal,2018,17514.608
Portugal,2019,18438.36
Portugal,2020,18765.56
Portugal,2021,19766.821
Portugal,2022,21065.573
Portugal,2023,23108.995
Portugal,2024,24748.542
Spain,2015,27030.949
Spain,2016,26929.235
Spain,2017,26991.939
Spain,2018,27311.162
Spain,2019,28014.795
Spain,2020,27722.642
Spain,2021,29480.344
Spain,2022,30919.398
Spain,2023,32276.052
Spain,2024,33767.131
United Kingdom,2015,33136.893
United Kingdom,2016,33971.401
United Kingdom,2017,34799.782
United Kingdom,2018,35575.623
United Kingdom,2019,36583.819
United Kingdom,2020,36207.198
United Kingdom,2021,37727.41
United Kingdom,2022,40107.641
United Kingdom,2023,42530.96
United Kingdom,2024,44649.849
